date,state,committee,type,number of studies
3/17/1989,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Thesis,1
9/1/2008,Tehran,Vice-Chancellor in Research Affairs - Shahid Beheshti University of Medical Sciences,Proposal,1
11/21/2010,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
12/24/2010,Sistan and Baluchestan,Zabol University of Medical Sciences,Proposal,1
4/24/2011,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
11/27/2011,Tehran,"Research Institute for Oncology, Hematology and Cell Therapy - Tehran University of Medical Sciences",Proposal,1
2/12/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,2
3/10/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
3/10/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
5/19/2013,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
2/18/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
3/4/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
4/21/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
8/30/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,2
8/30/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
11/25/2014,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,2
3/17/2015,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,1
3/18/2015,Semnan,Semnan University Of Medical Sciences and Health Services,Proposal,2
8/16/2015,Kerman,Jiroft University of Medical Sciences,Thesis,1
10/20/2015,Kerman,Rafsanjan University of Medical Sciences,Proposal,1
2/3/2016,Yazd,National Research Institute of Tuberculosis and Lung Diseases - Shahid Beheshti University of Medical Sciences,Proposal,1
5/14/2016,Yazd,Islamic Azad University-Yazd Branch,Thesis,1
9/10/2016,Tehran,Farabi Eye Hospital- Tehran University of Medical Sciences,Thesis,1
9/11/2016,Alborz,Alborz University of Medical Sciences,Proposal,1
12/25/2016,Khuzestan,Shoushtar Faculty of Medical Sciences,Proposal,1
12/31/2016,Tehran,Farabi Eye Hospital- Tehran University of Medical Sciences,Thesis,1
1/15/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
1/22/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,2
2/8/2017,Razavi Khorasan,School of Dentistry - Mashhad University of Medical Sciences,Thesis,1
2/18/2017,Zanjan,Zanjan University of Medical Sciences,Thesis,1
2/22/2017,Razavi Khorasan,School of Medicine- Mashhad University of Medical Sciences,Thesis,1
3/11/2017,Isfahan,Islamic Azad University - Isfahan (Khorasgan) Branch,Thesis,1
4/12/2017,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,2
4/14/2017,Tehran,School of Medicine,Thesis,1
4/17/2017,Yazd,School of Public Health - Shahid Sadoughi University of Medical Sciences,Thesis,1
4/18/2017,West Azerbaijan,Urmia University of Medical Sciences,Thesis,1
4/26/2017,Khuzestan,Shoushtar Faculty of Medical Sciences,Proposal,1
5/1/2017,Qom,Qom University of Medical Sciences,Proposal,2
5/21/2017,Semnan,Semnan University Of Medical Sciences and Health Services,Thesis,1
6/6/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
6/19/2017,Lorestan,Islamic Azad University - Boroujerd Branch,Thesis,1
6/22/2017,Razavi Khorasan,School of Nursing & Midwifery - Mashhad University of Medical Sciences,Proposal,1
6/25/2017,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
6/28/2017,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
7/5/2017,Razavi Khorasan,School of Medicine- Mashhad University of Medical Sciences,Proposal,1
7/15/2017,Yazd,Reproductive Sciences Institute - Shahid Sadoughi University of Medical Sciences,Proposal,1
7/19/2017,Isfahan,Isfahan University of Medical Sciences and Health Services,Proposal,1
7/23/2017,Ilam,Ilam University of Medical Sciences,Thesis,1
7/30/2017,Tehran,School of Medicine- Tehran University of Medical Sciences,Thesis,1
8/5/2017,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,1
8/6/2017,Tabriz,Tabriz University of Medical Sciences,Thesis,1
8/23/2017,Tehran,Farabi Eye Hospital- Tehran University of Medical Sciences,Thesis,2
8/24/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
8/26/2017,Tehran,Rajaie Cardiovascular Medical and Research Center,Proposal,1
8/30/2017,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
9/5/2017,Tehran,School of Medicine- Tehran University of Medical Sciences,Proposal,1
9/6/2017,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,2
9/12/2017,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Proposal,1
9/18/2017,Razavi Khorasan,School of Nursing & Midwifery - Mashhad University of Medical Sciences,Thesis,1
10/7/2017,Tehran,"Legal Medicine Organization, Islamic Republic of Iran",Proposal,1
10/9/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
10/15/2017,Kerman,Kerman University of Medical Sciences,Thesis,1
10/21/2017,Tehran,"Legal Medicine Organization, Islamic Republic of Iran",Proposal,1
11/7/2017,Lorestan,Lorestan University of Medical Sciences,Proposal,1
11/15/2017,Isfahan,University of Isfahan,Proposal,1
11/15/2017,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,2
11/15/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,2
11/19/2017,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
11/23/2017,Tehran,Imam Khomeini Hospital Complex- Tehran University of Medical Sciences,Thesis,1
11/25/2017,Tehran,School of Medicine,Thesis,1
11/26/2017,Tehran,National Institute for Health Research - Tehran University of Medical Sciences,Proposal,3
11/26/2017,Tehran,National Institute for Medical Research Development,Proposal,1
12/11/2017,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
12/12/2017,Yazd,National Research Institute of Tuberculosis and Lung Diseases - Shahid Beheshti University of Medical Sciences,Proposal,1
12/18/2017,Zanjan,Zanjan University of Medical Sciences,Thesis,1
12/25/2017,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
1/10/2018,North Khorasan,North Khorasan University of Medical Sciences,Proposal,1
1/17/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Proposal,2
1/17/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,2
1/18/2018,Tehran,National Institute for Health Research - Tehran University of Medical Sciences,Proposal,1
1/20/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
1/27/2018,Isfahan,Islamic Azad University - Isfahan (Khorasgan) Branch,Thesis,1
1/31/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,3
2/6/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
2/7/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,2
2/7/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
2/13/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
2/13/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
2/14/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
2/15/2018,Tehran,Imam Khomeini Hospital Complex- Tehran University of Medical Sciences,Thesis,1
2/18/2018,Tehran,Research Institute of Dental Sciences-Shahid Beheshti University of Medical Sciences,Proposal,1
2/19/2018,Tehran,School of Medicine- Tehran University of Medical Sciences,Thesis,1
2/19/2018,Zanjan,Zanjan University of Medical Sciences,Thesis,4
2/21/2018,Isfahan,Islamic Azad University - Isfahan (Khorasgan) Branch,Thesis,1
2/21/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
2/21/2018,Tehran,Faculty of Physical Education and Sport Sciences - Tehran University,Thesis,1
2/24/2018,Kerman,Kerman University of Medical Sciences,Proposal,1
2/24/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
2/28/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,4
2/28/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
3/4/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,2
3/7/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,2
3/7/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,5
3/11/2018,Isfahan,Islamic Azad University - Isfahan (Khorasgan) Branch,Thesis,7
3/11/2018,Tehran,"Immunology, Asthma & Allergy Research Institute- Tehran University of Medical Sciences",Proposal,1
3/11/2018,Tehran,National Institute for Health Research - Tehran University of Medical Sciences,Proposal,9
3/12/2018,Bushehr,Bushehr province university of medical sciences,Proposal,1
3/14/2018,East Azerbaijan,Maragheh University of Medical Sciences,Proposal,1
3/14/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Proposal,7
3/14/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,10
3/14/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,3
3/14/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
3/14/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
3/15/2018,East Azerbaijan,Maragheh University of Medical Sciences,Proposal,1
3/17/2018,East Azerbaijan,Maragheh University of Medical Sciences,Proposal,1
3/17/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,1
3/18/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
3/26/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,4
3/27/2018,Tehran,Iran University of Medical Sciences,Thesis,1
3/27/2018,Tehran,School of Medicine,Thesis,1
4/1/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,1
4/3/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
4/4/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,1
4/4/2018,Fars,Shiraz University of Medical Sciences,Proposal,12
4/4/2018,Fars,Shiraz University of Medical Sciences,Thesis,2
4/4/2018,Kerman,Kerman University of Medical Sciences,Proposal,1
4/4/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
4/7/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Proposal,1
4/7/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,3
4/7/2018,Fars,Shiraz University of Medical Sciences,Proposal,9
4/7/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,3
4/7/2018,Razavi Khorasan,Mashhad University of Medical Sciences,Proposal,5
4/7/2018,Razavi Khorasan,Mashhad University of Medical Sciences,Thesis,4
4/8/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,4
4/8/2018,Sistan and Baluchestan,Zahedan University Of Medical Sciences,Proposal,28
4/8/2018,Sistan and Baluchestan,Zahedan University Of Medical Sciences,Thesis,5
4/8/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Thesis,1
4/8/2018,Tehran,The Institute of Pharmaceutical Sciences -Tehran University of Medical Sciences,Thesis,1
4/8/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,2
4/8/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,4
4/9/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,2
4/9/2018,Isfahan,Faculty of Medicine & Faculty of Dentistry- Kashan University of Medical Sciences,Proposal,2
4/9/2018,Tabriz,Vice-Chancellor in Research Affairs - Tabriz University of Medical Sciences,Proposal,8
4/9/2018,Tabriz,Vice-Chancellor in Research Affairs - Tabriz University of Medical Sciences,Thesis,15
4/10/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,1
4/10/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
4/10/2018,Qom,Qom University of Medical Sciences,Proposal,3
4/10/2018,Qom,Qom University of Medical Sciences,Thesis,3
4/10/2018,Razavi Khorasan,Islamic Azad university - Sabzevar Branch,Thesis,8
4/10/2018,Tabriz,Tabriz University of Medical Sciences,Proposal,2
4/10/2018,Tabriz,Tabriz University of Medical Sciences,Thesis,11
4/10/2018,Tehran,School of Medicine- Tehran University of Medical Sciences,Thesis,1
4/10/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,6
4/11/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Proposal,1
4/11/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,5
4/11/2018,Fars,Shiraz University of Medical Sciences,Proposal,20
4/11/2018,Fars,Shiraz University of Medical Sciences,Thesis,9
4/11/2018,Gilan,Guilan university of medical sciences,Proposal,8
4/11/2018,Gilan,Guilan university of medical sciences,Thesis,13
4/11/2018,Kerman,Rafsanjan University of Medical Sciences,Proposal,5
4/11/2018,Razavi Khorasan,School of Medicine- Mashhad University of Medical Sciences,Proposal,13
4/11/2018,Razavi Khorasan,School of Medicine- Mashhad University of Medical Sciences,Thesis,32
4/11/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Thesis,5
4/11/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,3
4/11/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,2
4/12/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Proposal,5
4/12/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,4
4/15/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Proposal,1
4/15/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,7
4/15/2018,Fars,Shiraz University of Medical Sciences,Proposal,7
4/15/2018,Fars,Shiraz University of Medical Sciences,Thesis,3
4/15/2018,Hormozgan,Hormozgan University of Medical Sciences,Proposal,4
4/15/2018,Hormozgan,Hormozgan University of Medical Sciences,Thesis,10
4/15/2018,Razavi Khorasan,Neyshabur University of Medical Sciences,Proposal,3
4/15/2018,Razavi Khorasan,Neyshabur University of Medical Sciences,Thesis,1
4/15/2018,Sistan and Baluchestan,Zahedan University Of Medical Sciences,Proposal,10
4/15/2018,Sistan and Baluchestan,Zahedan University Of Medical Sciences,Thesis,7
4/15/2018,Tehran,School of Medicine- Tehran University of Medical Sciences,Thesis,2
4/15/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
4/15/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Thesis,3
4/15/2018,Tehran,Vice-Chancellor in Research Affairs - Shahid Beheshti University of Medical Sciences,Proposal,36
4/15/2018,Tehran,Vice-Chancellor in Research Affairs - Shahid Beheshti University of Medical Sciences,Thesis,29
4/15/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
4/15/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,1
4/16/2018,Bushehr,Bushehr province university of medical sciences,Proposal,1
4/16/2018,Bushehr,Bushehr province university of medical sciences,Thesis,8
4/16/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,5
4/16/2018,Fars,Shiraz University of Medical Sciences,Proposal,2
4/16/2018,Kerman,Kerman University of Medical Sciences,Proposal,40
4/16/2018,Kerman,Kerman University of Medical Sciences,Thesis,1
4/16/2018,Kerman,Rafsanjan University of Medical Sciences,Proposal,4
4/16/2018,Tabriz,Tabriz University of Medical Sciences,Proposal,23
4/16/2018,Tabriz,Tabriz University of Medical Sciences,Thesis,50
4/16/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Proposal,1
4/16/2018,Tehran,School of Nursing and Midwifery & Rehabilitation - Tehran University of Medical Sciences,Thesis,1
4/16/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
4/17/2018,Fars,Shiraz University of Medical Sciences,Proposal,1
4/17/2018,Hamadan,Hamadan University of Medical Scieneces,Proposal,2
4/17/2018,Hamadan,Hamadan University of Medical Scieneces,Thesis,2
4/17/2018,Khuzestan,Ahvaz Jundishapur University of Medical Sciences,Proposal,2
4/17/2018,Khuzestan,Ahvaz Jundishapur University of Medical Sciences,Thesis,3
4/17/2018,Mazandaran,Health Research Institute - Babol University of Medical Sciences,Proposal,3
4/17/2018,North Khorasan,North Khorasan University of Medical Sciences,Proposal,10
4/17/2018,North Khorasan,North Khorasan University of Medical Sciences,Thesis,2
4/17/2018,Tehran,Imam Khomeini Hospital Complex- Tehran University of Medical Sciences,Proposal,1
4/17/2018,Tehran,Imam Khomeini Hospital Complex- Tehran University of Medical Sciences,Thesis,1
4/17/2018,Tehran,"Immunology, Asthma & Allergy Research Institute- Tehran University of Medical Sciences",Proposal,1
4/17/2018,Tehran,"Royan Institute- Academic Center for Education, Culture and Research",Proposal,3
4/17/2018,Tehran,The Institute of Pharmaceutical Sciences -Tehran University of Medical Sciences,Thesis,1
4/17/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,2
4/17/2018,Yazd,School of Public Health - Shahid Sadoughi University of Medical Sciences,Proposal,2
4/17/2018,Yazd,School of Public Health - Shahid Sadoughi University of Medical Sciences,Thesis,5
4/18/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,2
4/18/2018,Fars,Shiraz University of Medical Sciences,Proposal,12
4/18/2018,Kerman,Rafsanjan University of Medical Sciences,Proposal,8
4/18/2018,Kerman,Rafsanjan University of Medical Sciences,Thesis,2
4/18/2018,Kermanshah,Kermanshah University of Medical Sciences,Proposal,14
4/18/2018,Kermanshah,Kermanshah University of Medical Sciences,Thesis,15
4/18/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,95
4/18/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,5
4/18/2018,Razavi Khorasan,School of Dentistry - Mashhad University of Medical Sciences,Proposal,2
4/18/2018,Razavi Khorasan,School of Dentistry - Mashhad University of Medical Sciences,Thesis,7
4/18/2018,Tehran,Imam Khomeini Hospital Complex- Tehran University of Medical Sciences,Thesis,3
4/18/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,3
4/18/2018,West Azerbaijan,Urmia University of Medical Sciences,Proposal,4
4/18/2018,West Azerbaijan,Urmia University of Medical Sciences,Thesis,37
4/18/2018,Yazd,Islamic Azad University-Yazd Branch,Thesis,14
4/19/2018,Isfahan,Islamic Azad University- Najafaba Branch,Proposal,1
4/19/2018,Isfahan,Islamic Azad University- Najafaba Branch,Thesis,3
4/19/2018,Kerman,Kerman University of Medical Sciences,Thesis,1
4/21/2018,Fars,Shiraz University of Medical Sciences,Proposal,8
4/21/2018,Fars,Shiraz University of Medical Sciences,Thesis,5
4/21/2018,Gilan,Guilan university of medical sciences,Proposal,4
4/21/2018,Gilan,Guilan university of medical sciences,Thesis,4
4/21/2018,Hamadan,Hamadan University of Medical Scieneces,Proposal,15
4/21/2018,Hamadan,Hamadan University of Medical Scieneces,Thesis,17
4/21/2018,Kerman,Rafsanjan University of Medical Sciences,Proposal,8
4/21/2018,Khuzestan,Ahvaz Jundishapur University of Medical Sciences,Proposal,3
4/21/2018,Khuzestan,Ahvaz Jundishapur University of Medical Sciences,Thesis,23
4/21/2018,Kohgiluyeh and Boyer-Ahmad,Yasuj University of Medical Sciences,Proposal,1
4/21/2018,Kohgiluyeh and Boyer-Ahmad,Yasuj University of Medical Sciences,Thesis,4
4/21/2018,Markazi,Islamic Azad University- Arak Branch,Thesis,3
4/21/2018,Razavi Khorasan,"Mashhad Academic Center for Education, Culture and Research",Proposal,2
4/21/2018,Razavi Khorasan,Mashhad University of Medical Sciences,Proposal,9
4/21/2018,Razavi Khorasan,Mashhad University of Medical Sciences,Thesis,10
4/21/2018,Tehran,School of Medicine- Tehran University of Medical Sciences,Proposal,1
4/21/2018,Tehran,The Institute of Pharmaceutical Sciences -Tehran University of Medical Sciences,Thesis,4
4/21/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,2
4/21/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,1
4/22/2018,Chaharmahal and Bakhtiari,Shahrekord University of Medical Sciences,Proposal,15
4/22/2018,Chaharmahal and Bakhtiari,Shahrekord University of Medical Sciences,Thesis,15
4/22/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,1
4/22/2018,Khuzestan,Abadan School of Medical Sciences,Proposal,4
4/22/2018,Razavi Khorasan,School of pharmacy - Mashhad Univercity of Medical Sciences,Proposal,10
4/22/2018,Razavi Khorasan,School of pharmacy - Mashhad Univercity of Medical Sciences,Thesis,1
4/22/2018,Razavi Khorasan,Torbat Heydariyeh University of Medical Sciences,Thesis,1
4/22/2018,Tehran,Iran University of Medical Sciences,Proposal,1
4/22/2018,Tehran,Iran University of Medical Sciences,Thesis,20
4/22/2018,Tehran,Islamic Azad University - Dental Branch Tehran - Iran,Thesis,16
4/22/2018,Tehran,"Motamed Cancer Institute-Academic Center for Education, Culture and Research",Proposal,1
4/22/2018,Tehran,School of Medicine,Thesis,1
4/22/2018,Tehran,School of Medicine- Tehran University of Medical Sciences,Proposal,3
4/23/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Proposal,1
4/23/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,1
4/23/2018,Isfahan,Faculty of Medicine & Faculty of Dentistry- Kashan University of Medical Sciences,Proposal,1
4/23/2018,Khuzestan,Behbahan Faculty of Medical Sciences,Proposal,16
4/23/2018,Semnan,Shahroud University of Medical Sciences,Proposal,1
4/23/2018,Semnan,Shahroud University of Medical Sciences,Thesis,16
4/23/2018,Tabriz,Tabriz University of Medical Sciences,Proposal,4
4/23/2018,Tabriz,Tabriz University of Medical Sciences,Thesis,16
4/23/2018,Tabriz,Vice-Chancellor in Research Affairs - Tabriz University of Medical Sciences,Proposal,11
4/23/2018,Tabriz,Vice-Chancellor in Research Affairs - Tabriz University of Medical Sciences,Thesis,10
4/23/2018,Tehran,The Institute of Pharmaceutical Sciences -Tehran University of Medical Sciences,Thesis,1
4/23/2018,Tehran,shahed university,Proposal,1
4/23/2018,Tehran,shahed university,Thesis,11
4/24/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,5
4/24/2018,Hamadan,Hamadan University of Medical Scieneces,Proposal,1
4/24/2018,Hamadan,Hamadan University of Medical Scieneces,Thesis,2
4/24/2018,Kurdistan,Kurdistan University of Medical Sciences,Proposal,13
4/24/2018,Kurdistan,Kurdistan University of Medical Sciences,Thesis,9
4/24/2018,Mazandaran,Mazandaran University of Medical Sciences,Proposal,2
4/24/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,4
4/24/2018,Semnan,Islamic Azad University - Shahrood Branch,Thesis,7
4/25/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,2
4/25/2018,Kerman,Jiroft University of Medical Sciences,Proposal,6
4/25/2018,Kerman,Rafsanjan University of Medical Sciences,Proposal,7
4/25/2018,Kerman,Rafsanjan University of Medical Sciences,Thesis,4
4/25/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
4/25/2018,Tehran,"Immunology, Asthma & Allergy Research Institute- Tehran University of Medical Sciences",Proposal,4
4/25/2018,Tehran,Ophthalmic Research Center- Shahid Beheshti University of Medical Sciences,Proposal,20
4/25/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
4/25/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,1
4/25/2018,Yazd,Shahid Sadoughi University of Medical Sciences,Thesis,9
4/26/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,1
4/26/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
4/27/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,6
4/28/2018,Alborz,Alborz University of Medical Sciences,Proposal,10
4/28/2018,Alborz,Alborz University of Medical Sciences,Thesis,3
4/28/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,4
4/28/2018,Fars,Shiraz University of Medical Sciences,Proposal,12
4/28/2018,Fars,Shiraz University of Medical Sciences,Thesis,7
4/28/2018,Hamadan,Hamadan University of Medical Scieneces,Proposal,6
4/28/2018,Hamadan,Hamadan University of Medical Scieneces,Thesis,14
4/28/2018,Kerman,Jiroft University of Medical Sciences,Thesis,2
4/28/2018,Khuzestan,Ahvaz Jundishapur University of Medical Sciences,Proposal,10
4/28/2018,Khuzestan,Ahvaz Jundishapur University of Medical Sciences,Thesis,17
4/28/2018,Mazandaran,Health Research Institute - Babol University of Medical Sciences,Proposal,1
4/28/2018,Mazandaran,Health Research Institute - Babol University of Medical Sciences,Thesis,10
4/28/2018,Mazandaran,Imam Hospital- Mazandaran University of Medical Sciences,Thesis,1
4/28/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,1
4/28/2018,Tehran,Rajaie Cardiovascular Medical and Research Center,Proposal,8
4/28/2018,Tehran,Rajaie Cardiovascular Medical and Research Center,Thesis,3
4/28/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Proposal,1
4/28/2018,Tehran,Vice-Chancellor in Research Affairs- Tehran University of Medical Sciences,Thesis,1
4/29/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Proposal,1
4/29/2018,Fars,Shiraz University of Medical Sciences,Proposal,7
4/29/2018,Fars,Shiraz University of Medical Sciences,Thesis,6
4/29/2018,Golestan,Golestan University of Medical Sciences,Proposal,8
4/29/2018,Golestan,Golestan University of Medical Sciences,Thesis,7
4/29/2018,Hormozgan,Hormozgan University of Medical Sciences,Proposal,3
4/29/2018,Hormozgan,Hormozgan University of Medical Sciences,Thesis,17
4/29/2018,Markazi ,Arak University of Medical Sciences,Proposal,14
4/29/2018,Markazi ,Arak University of Medical Sciences,Thesis,8
4/29/2018,Razavi Khorasan,Torbat Heydariyeh University of Medical Sciences,Proposal,2
4/29/2018,Razavi Khorasan,Torbat Heydariyeh University of Medical Sciences,Thesis,1
4/29/2018,Sistan and Baluchestan,Zahedan University Of Medical Sciences,Proposal,13
4/29/2018,Sistan and Baluchestan,Zahedan University Of Medical Sciences,Thesis,11
4/29/2018,Tehran,School of Dentistry- Tehran University of Medical Sciences,Proposal,1
4/29/2018,Tehran,Vice-Chancellor in Research Affairs - Shahid Beheshti University of Medical Sciences,Proposal,35
4/29/2018,Tehran,Vice-Chancellor in Research Affairs - Shahid Beheshti University of Medical Sciences,Thesis,18
4/30/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Proposal,1
4/30/2018,Fars,School of Medicine - Shiraz University of Medical Sciences,Thesis,2
4/30/2018,Lorestan,Lorestan University of Medical Sciences,Proposal,8
4/30/2018,Lorestan,Lorestan University of Medical Sciences,Thesis,2
4/30/2018,Mazandaran,Mazandaran University of Medical Sciences,Thesis,2
4/30/2018,Qazvin,Qazvin University of Medical Sciences,Proposal,11
4/30/2018,Qazvin,Qazvin University of Medical Sciences,Thesis,13
4/30/2018,Tabriz,Tabriz University of Medical Sciences,Proposal,5
4/30/2018,Tabriz,Tabriz University of Medical Sciences,Thesis,19
